Score,Bar Distance,Bar Speed
1,,
3,,
2,,
6,,
15,,
9,,
1,,
14,,
4,,
2,,
4,,
2,,
5,,
119,,
2,,
13,,
42,,
7,,
2,,
4,,
47,,
57,,
26,,
4,,
2,,
5,,
5,,
24,,
4,,
5,,
60,,
4,,
7,,
46,,
30,,
28,,
4,,
2,,
2,,
1,,
2,,
3,,
4,,
21,,
2,,
7,,
21,,
24,,
2,,
4,,
4,,
1,,
3,,
8,,
1,,
1,8.560684204101562,13.625502586364746
16,-4.398137737404216,9.228723569349809
1,5.422787030537923,10.597050803048267
5,2.51485048021589,10.476892904801804
5,-0.4393355563535528,9.12645247831183
7,1.003099425808414,8.614462862957964
20,-5.908328038674814,9.694892315637498
1,8.294194606634287,11.880765511439396
2,5.71560674905777,10.492470463116964
9,-2.9338138589152583,9.285221492802656
8,0.7632969750298394,10.588670147789848
13,-0.10408994613155242,10.108755302429199
