building_location,building_price_hkd_mean
39 Conduit Road,17596.894736842107
The Mayfair,12339.25
Fortuna Court,10671.25
Estoril Court,9843.315789473685
Nos.2 And 3 Garden Terrace,8455.555555555555
The Masterpiece,6738.206349206349
Clovelly Court,6208.0
One Mayfair,6146.2307692307695
One Lasalle,5915.0
Dynasty Court,5834.7
Grand Garden,5833.1
Azura,5683.066666666667
Tregunter,5233.2
Marinella,5225.4
15 Homantin Hill,5086.333333333333
The Cullinan,5046.7226277372265
The Altitude,4884.181818181818
Tavistock,4798.0
The Signature,4750.0
The Leighton Hill,4732.410256410257
Evergreen Villa,4479.466666666666
Harbourfront Landmark,4470.9
31 Robinson Road,4214.111111111111
Hong Kong Parkview,4183.265060240964
Cavendish Heights,4170.967741935484
No.1 Po Shan Road,4077.5
Forfar,4053.3333333333335
Elm Tree Towers,3866.0
Sunderland Estate,3727.6666666666665
Winfield Building,3613.75
Skyscraper,3607.0
No.37 Repulse Bay Road,3473.1666666666665
One Beacon Hill,3345.9538461538464
The Harbourside,3282.1
Mount Beacon,3199.5757575757575
The Arch,3164.468253968254
Kingsford Gardens,3086.5714285714284
Redhill Peninsula,3046.850393700787
80 Robinson Road,3012.396551724138
South Bay Palace,2976.5
Residence Bel-Air,2956.051470588235
King's Park Hill,2944.6
Harbour One,2932.7368421052633
Beverly Hill,2924.508474576271
Villa Lotto,2918.16
La Mer,2915.0
The Legend At Jardine's Lookout,2847.181818181818
King Yu Court,2831.3333333333335
Dunbar Place,2801.3333333333335
Summit Court,2722.3333333333335
The Gloucester,2719.9310344827586
Pacific View,2706.1071428571427
Kadoorie Hill,2702.6666666666665
Mayfair By The Sea I,2658.1271186440677
Sky Horizon,2657.2727272727275
Imperial Cullinan,2638.125
Celestial Heights,2588.55900621118
Villa Rocha,2571.285714285714
Grand Austin,2557.6206896551726
Braemar Hill Mansions,2525.6724137931033
The Palace,2517.9166666666665
Park Towers,2509.818181818182
Flora Garden,2466.6470588235293
Starcrest,2444.027027027027
Kensington Hill,2416.974358974359
Meridian Hill,2349.4285714285716
Wylie Court,2347.5
Parc Palais,2327.609756097561
Realty Gardens,2305.1666666666665
Imperial Court (Mlw),2283.695652173913
Serenade,2257.8205128205127
Larvotto,2229.614285714286
Baguio Villa,2217.114285714286
Robinson Place,2159.5974025974024
One Silversea,2142.774509803922
Convention Plaza,2121.1609195402298
The Great Hill,2116.8571428571427
Hill Paramount,2116.6857142857143
Soho 189,2115.0666666666666
Kadoorie Lookout,2105.512195121951
Sorrento,2096.9414414414414
Evelyn Towers,2090.7297297297296
The Grand Panorama,2080.4193548387098
Conduit 18,2070.5
Beverly Villas,2034.7045454545455
The Waterfront,2027.909090909091
The Belcher's,2023.1370967741937
Greenville Gardens,1976.2727272727273
King's Park Villa,1970.076923076923
Grand Deco Tower,1967.75
Carmen's Garden,1957.1666666666667
Cadogan,1912.679012345679
Bon-Point,1897.6666666666667
The Avenue,1861.6130434782608
Peninsula Heights,1859.5
Hillsborough Court,1852.1147540983607
Lyttelton Garden,1845.7777777777778
Providence Bay,1837.6077481840193
The Oakhill,1825.6818181818182
Ho King View,1796.75
Phoenix Court,1767.5652173913043
No.2 Park Road,1740.655172413793
The Montebello,1739.8333333333333
Y.I,1731.625
Palatial Crest,1715.2307692307693
The Austin,1711.047619047619
The Dynasty,1703.6285714285714
Centrepoint,1698.421052631579
Coral Court,1694.0222222222221
Robinson Heights,1688.860465116279
Deerhill Bay,1673.0
Sky-Garden,1671.4
The Victoria Towers,1627.8235294117646
Julimount Garden,1607.25
Gramercy,1605.909090909091
The Hermitage,1604.284023668639
Dynasty Heights,1602.557142857143
Pacific Palisades,1574.7413793103449
Lexington Hill,1564.047619047619
Ronsdale Garden,1559.2702702702702
Centrestage,1549.125
The Riverpark,1541.6021505376343
Costa Bello,1524.0
Le Sommet,1503.5416666666667
The Floridian,1497.6
The Babington,1469.9166666666667
Provident Centre,1444.8321167883212
The Java,1440.8333333333333
The Regalia,1434.741935483871
One Wanchai,1432.1666666666667
The Orchards,1423.5238095238096
Island Lodge,1421.7391304347825
World-Wide Gardens,1417.857142857143
Scenecliff,1413.0434782608695
Jardine Summit,1408.25
Scholastic Garden,1404.1
Regency Park,1387.5
Manhattan Hill,1383.5828220858896
Sha Tin 33,1378.4736842105262
Casa Bella,1371.92
Villa Carlton,1369.764705882353
The Coronation,1368.3
Peak One,1365.747663551402
Central Park,1362.5
Island Crest,1362.1463414634147
Ellery Terrace,1360.3333333333333
The Balmoral,1357.5
Casa 880,1353.4117647058824
York Place,1353.3333333333333
Les Saisons,1351.3076923076924
The Astrid,1342.4666666666667
Valiant Park,1328.3731343283582
The Astoria,1318.3703703703704
Belcher's Hill,1316.2
Grandview Tower,1315.7916666666667
The Palazzo,1308.9508771929825
